,eventID,case concept:name,case REG_DATE,case AMOUNT_REQ,event org:resource,event concept:name,event lifecycle:transition,event time:timestamp,case:concept:name,concept:name,time:timestamp,@@index,@@case_index,ground_truth_activity,ground_truth_time
12,12,173688,2011-01-10 00:38:44.546000+00:00,20000,,W_Nabellen offertes,START,2011-01-10 12:15:41.290000+00:00,173688,W_Nabellen offertes,2011-01-10 12:15:41.290000+00:00,12,0,W_Nabellen offertes,2011-01-10 12:17:08.924000+00:00
13,13,173688,2011-01-10 00:38:44.546000+00:00,20000,,W_Nabellen offertes,COMPLETE,2011-01-10 12:17:08.924000+00:00,173688,W_Nabellen offertes,2011-01-10 12:17:08.924000+00:00,13,0,W_Nabellen offertes,2011-08-10 16:26:57.720000+00:00
14,14,173688,2011-01-10 00:38:44.546000+00:00,20000,10913.0,W_Nabellen offertes,START,2011-08-10 16:26:57.720000+00:00,173688,W_Nabellen offertes,2011-08-10 16:26:57.720000+00:00,14,0,W_Nabellen offertes,2011-08-10 16:32:00.886000+00:00
15,15,173688,2011-01-10 00:38:44.546000+00:00,20000,10913.0,W_Nabellen offertes,COMPLETE,2011-08-10 16:32:00.886000+00:00,173688,W_Nabellen offertes,2011-08-10 16:32:00.886000+00:00,15,0,W_Nabellen offertes,2011-10-10 11:32:22.495000+00:00
16,16,173688,2011-01-10 00:38:44.546000+00:00,20000,11049.0,W_Nabellen offertes,START,2011-10-10 11:32:22.495000+00:00,173688,W_Nabellen offertes,2011-10-10 11:32:22.495000+00:00,16,0,O_SENT_BACK,2011-10-10 11:33:03.668000+00:00
17,17,173688,2011-01-10 00:38:44.546000+00:00,20000,11049.0,O_SENT_BACK,COMPLETE,2011-10-10 11:33:03.668000+00:00,173688,O_SENT_BACK,2011-10-10 11:33:03.668000+00:00,17,0,W_Valideren aanvraag,2011-10-10 11:33:04.560000+00:00
18,18,173688,2011-01-10 00:38:44.546000+00:00,20000,11049.0,W_Valideren aanvraag,SCHEDULE,2011-10-10 11:33:04.560000+00:00,173688,W_Valideren aanvraag,2011-10-10 11:33:04.560000+00:00,18,0,W_Nabellen offertes,2011-10-10 11:33:05.791000+00:00
19,19,173688,2011-01-10 00:38:44.546000+00:00,20000,11049.0,W_Nabellen offertes,COMPLETE,2011-10-10 11:33:05.791000+00:00,173688,W_Nabellen offertes,2011-10-10 11:33:05.791000+00:00,19,0,W_Valideren aanvraag,2011-10-13 10:05:26.925000+00:00
20,20,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,W_Valideren aanvraag,START,2011-10-13 10:05:26.925000+00:00,173688,W_Valideren aanvraag,2011-10-13 10:05:26.925000+00:00,20,0,O_ACCEPTED,2011-10-13 10:37:29.226000+00:00
21,23,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,O_ACCEPTED,COMPLETE,2011-10-13 10:37:29.226000+00:00,173688,O_ACCEPTED,2011-10-13 10:37:29.226000+00:00,21,0,A_REGISTERED,2011-10-13 10:37:29.226000+00:00
22,21,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,A_REGISTERED,COMPLETE,2011-10-13 10:37:29.226000+00:00,173688,A_REGISTERED,2011-10-13 10:37:29.226000+00:00,22,0,A_APPROVED,2011-10-13 10:37:29.226000+00:00
23,22,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,A_APPROVED,COMPLETE,2011-10-13 10:37:29.226000+00:00,173688,A_APPROVED,2011-10-13 10:37:29.226000+00:00,23,0,A_ACTIVATED,2011-10-13 10:37:29.226000+00:00
24,24,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,A_ACTIVATED,COMPLETE,2011-10-13 10:37:29.226000+00:00,173688,A_ACTIVATED,2011-10-13 10:37:29.226000+00:00,24,0,W_Valideren aanvraag,2011-10-13 10:37:37.026000+00:00
25,25,173688,2011-01-10 00:38:44.546000+00:00,20000,10629.0,W_Valideren aanvraag,COMPLETE,2011-10-13 10:37:37.026000+00:00,173688,W_Valideren aanvraag,2011-10-13 10:37:37.026000+00:00,25,0,N\A,N\A
26,4294967296,173691,2011-01-10 08:08:58.256000+00:00,5000,112.0,A_SUBMITTED,COMPLETE,2011-01-10 08:08:58.256000+00:00,173691,A_SUBMITTED,2011-01-10 08:08:58.256000+00:00,26,1,A_PARTLYSUBMITTED,2011-01-10 08:09:02.195000+00:00
27,4294967297,173691,2011-01-10 08:08:58.256000+00:00,5000,112.0,A_PARTLYSUBMITTED,COMPLETE,2011-01-10 08:09:02.195000+00:00,173691,A_PARTLYSUBMITTED,2011-01-10 08:09:02.195000+00:00,27,1,A_PREACCEPTED,2011-01-10 08:09:56.648000+00:00
28,4294967298,173691,2011-01-10 08:08:58.256000+00:00,5000,112.0,A_PREACCEPTED,COMPLETE,2011-01-10 08:09:56.648000+00:00,173691,A_PREACCEPTED,2011-01-10 08:09:56.648000+00:00,28,1,W_Completeren aanvraag,2011-01-10 08:09:59.578000+00:00
29,4294967299,173691,2011-01-10 08:08:58.256000+00:00,5000,112.0,W_Completeren aanvraag,SCHEDULE,2011-01-10 08:09:59.578000+00:00,173691,W_Completeren aanvraag,2011-01-10 08:09:59.578000+00:00,29,1,W_Completeren aanvraag,2011-01-10 11:37:32.393000+00:00
30,4294967300,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Completeren aanvraag,START,2011-01-10 11:37:32.393000+00:00,173691,W_Completeren aanvraag,2011-01-10 11:37:32.393000+00:00,30,1,W_Completeren aanvraag,2011-01-10 11:43:13.178000+00:00
31,4294967301,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Completeren aanvraag,COMPLETE,2011-01-10 11:43:13.178000+00:00,173691,W_Completeren aanvraag,2011-01-10 11:43:13.178000+00:00,31,1,W_Completeren aanvraag,2011-01-10 14:27:57.775000+00:00
32,4294967302,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Completeren aanvraag,START,2011-01-10 14:27:57.775000+00:00,173691,W_Completeren aanvraag,2011-01-10 14:27:57.775000+00:00,32,1,A_ACCEPTED,2011-01-10 14:33:54.614000+00:00
33,4294967303,173691,2011-01-10 08:08:58.256000+00:00,5000,10862.0,A_ACCEPTED,COMPLETE,2011-01-10 14:33:54.614000+00:00,173691,A_ACCEPTED,2011-01-10 14:33:54.614000+00:00,33,1,O_SELECTED,2011-01-10 14:35:46.016000+00:00
34,4294967305,173691,2011-01-10 08:08:58.256000+00:00,5000,10862.0,O_SELECTED,COMPLETE,2011-01-10 14:35:46.016000+00:00,173691,O_SELECTED,2011-01-10 14:35:46.016000+00:00,34,1,A_FINALIZED,2011-01-10 14:35:46.016000+00:00
35,4294967304,173691,2011-01-10 08:08:58.256000+00:00,5000,10862.0,A_FINALIZED,COMPLETE,2011-01-10 14:35:46.016000+00:00,173691,A_FINALIZED,2011-01-10 14:35:46.016000+00:00,35,1,O_CREATED,2011-01-10 14:35:47.488000+00:00
36,4294967306,173691,2011-01-10 08:08:58.256000+00:00,5000,10862.0,O_CREATED,COMPLETE,2011-01-10 14:35:47.488000+00:00,173691,O_CREATED,2011-01-10 14:35:47.488000+00:00,36,1,O_SENT,2011-01-10 14:35:47.583000+00:00
37,4294967307,173691,2011-01-10 08:08:58.256000+00:00,5000,10862.0,O_SENT,COMPLETE,2011-01-10 14:35:47.583000+00:00,173691,O_SENT,2011-01-10 14:35:47.583000+00:00,37,1,W_Nabellen offertes,2011-01-10 14:35:47.682000+00:00
38,4294967308,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,SCHEDULE,2011-01-10 14:35:47.682000+00:00,173691,W_Nabellen offertes,2011-01-10 14:35:47.682000+00:00,38,1,W_Completeren aanvraag,2011-01-10 14:35:48.791000+00:00
39,4294967309,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Completeren aanvraag,COMPLETE,2011-01-10 14:35:48.791000+00:00,173691,W_Completeren aanvraag,2011-01-10 14:35:48.791000+00:00,39,1,W_Nabellen offertes,2011-01-10 14:36:13.443000+00:00
40,4294967310,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,START,2011-01-10 14:36:13.443000+00:00,173691,W_Nabellen offertes,2011-01-10 14:36:13.443000+00:00,40,1,W_Nabellen offertes,2011-01-10 14:36:25.794000+00:00
41,4294967311,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,COMPLETE,2011-01-10 14:36:25.794000+00:00,173691,W_Nabellen offertes,2011-01-10 14:36:25.794000+00:00,41,1,W_Nabellen offertes,2011-03-10 16:54:43.257000+00:00
42,4294967312,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,START,2011-03-10 16:54:43.257000+00:00,173691,W_Nabellen offertes,2011-03-10 16:54:43.257000+00:00,42,1,O_CANCELLED,2011-03-10 16:56:17.731000+00:00
43,4294967314,173691,2011-01-10 08:08:58.256000+00:00,5000,11120.0,O_CANCELLED,COMPLETE,2011-03-10 16:56:17.731000+00:00,173691,O_CANCELLED,2011-03-10 16:56:17.731000+00:00,43,1,O_SELECTED,2011-03-10 16:56:17.731000+00:00
44,4294967313,173691,2011-01-10 08:08:58.256000+00:00,5000,11120.0,O_SELECTED,COMPLETE,2011-03-10 16:56:17.731000+00:00,173691,O_SELECTED,2011-03-10 16:56:17.731000+00:00,44,1,O_CREATED,2011-03-10 16:56:19.613000+00:00
45,4294967315,173691,2011-01-10 08:08:58.256000+00:00,5000,11120.0,O_CREATED,COMPLETE,2011-03-10 16:56:19.613000+00:00,173691,O_CREATED,2011-03-10 16:56:19.613000+00:00,45,1,O_SENT,2011-03-10 16:56:19.645000+00:00
46,4294967316,173691,2011-01-10 08:08:58.256000+00:00,5000,11120.0,O_SENT,COMPLETE,2011-03-10 16:56:19.645000+00:00,173691,O_SENT,2011-03-10 16:56:19.645000+00:00,46,1,W_Nabellen offertes,2011-03-10 16:56:19.941000+00:00
47,4294967317,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,SCHEDULE,2011-03-10 16:56:19.941000+00:00,173691,W_Nabellen offertes,2011-03-10 16:56:19.941000+00:00,47,1,W_Nabellen offertes,2011-03-10 16:56:21.195000+00:00
48,4294967318,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,COMPLETE,2011-03-10 16:56:21.195000+00:00,173691,W_Nabellen offertes,2011-03-10 16:56:21.195000+00:00,48,1,W_Nabellen offertes,2011-03-10 16:56:34.792000+00:00
49,4294967319,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,START,2011-03-10 16:56:34.792000+00:00,173691,W_Nabellen offertes,2011-03-10 16:56:34.792000+00:00,49,1,W_Nabellen offertes,2011-03-10 16:57:16.563000+00:00
50,4294967320,173691,2011-01-10 08:08:58.256000+00:00,5000,,W_Nabellen offertes,COMPLETE,2011-03-10 16:57:16.563000+00:00,173691,W_Nabellen offertes,2011-03-10 16:57:16.563000+00:00,50,1,W_Nabellen offertes,2011-10-10 10:13:44.827000+00:00
51,4294967321,173691,2011-01-10 08:08:58.256000+00:00,5000,11049.0,W_Nabellen offertes,START,2011-10-10 10:13:44.827000+00:00,173691,W_Nabellen offertes,2011-10-10 10:13:44.827000+00:00,51,1,O_SENT_BACK,2011-10-10 10:14:43.775000+00:00
52,4294967322,173691,2011-01-10 08:08:58.256000+00:00,5000,11049.0,O_SENT_BACK,COMPLETE,2011-10-10 10:14:43.775000+00:00,173691,O_SENT_BACK,2011-10-10 10:14:43.775000+00:00,52,1,W_Valideren aanvraag,2011-10-10 10:14:44.052000+00:00
53,4294967323,173691,2011-01-10 08:08:58.256000+00:00,5000,11049.0,W_Valideren aanvraag,SCHEDULE,2011-10-10 10:14:44.052000+00:00,173691,W_Valideren aanvraag,2011-10-10 10:14:44.052000+00:00,53,1,W_Nabellen offertes,2011-10-10 10:14:45.514000+00:00
54,4294967324,173691,2011-01-10 08:08:58.256000+00:00,5000,11049.0,W_Nabellen offertes,COMPLETE,2011-10-10 10:14:45.514000+00:00,173691,W_Nabellen offertes,2011-10-10 10:14:45.514000+00:00,54,1,W_Valideren aanvraag,2011-10-10 11:12:36.612000+00:00
55,4294967325,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,START,2011-10-10 11:12:36.612000+00:00,173691,W_Valideren aanvraag,2011-10-10 11:12:36.612000+00:00,55,1,W_Valideren aanvraag,2011-10-10 11:30:54.893000+00:00
56,4294967326,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,COMPLETE,2011-10-10 11:30:54.893000+00:00,173691,W_Valideren aanvraag,2011-10-10 11:30:54.893000+00:00,56,1,W_Valideren aanvraag,2011-10-10 14:11:42.124000+00:00
57,4294967327,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,START,2011-10-10 14:11:42.124000+00:00,173691,W_Valideren aanvraag,2011-10-10 14:11:42.124000+00:00,57,1,W_Valideren aanvraag,2011-10-10 14:14:13.394000+00:00
58,4294967328,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,COMPLETE,2011-10-10 14:14:13.394000+00:00,173691,W_Valideren aanvraag,2011-10-10 14:14:13.394000+00:00,58,1,W_Valideren aanvraag,2011-10-10 14:14:52.842000+00:00
59,4294967329,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,START,2011-10-10 14:14:52.842000+00:00,173691,W_Valideren aanvraag,2011-10-10 14:14:52.842000+00:00,59,1,O_ACCEPTED,2011-10-10 14:17:26.306000+00:00
60,4294967330,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,O_ACCEPTED,COMPLETE,2011-10-10 14:17:26.306000+00:00,173691,O_ACCEPTED,2011-10-10 14:17:26.306000+00:00,60,1,A_APPROVED,2011-10-10 14:17:26.307000+00:00
61,4294967331,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,A_APPROVED,COMPLETE,2011-10-10 14:17:26.307000+00:00,173691,A_APPROVED,2011-10-10 14:17:26.307000+00:00,61,1,A_REGISTERED,2011-10-10 14:17:26.307000+00:00
62,4294967332,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,A_REGISTERED,COMPLETE,2011-10-10 14:17:26.307000+00:00,173691,A_REGISTERED,2011-10-10 14:17:26.307000+00:00,62,1,A_ACTIVATED,2011-10-10 14:17:26.307000+00:00
63,4294967333,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,A_ACTIVATED,COMPLETE,2011-10-10 14:17:26.307000+00:00,173691,A_ACTIVATED,2011-10-10 14:17:26.307000+00:00,63,1,W_Valideren aanvraag,2011-10-10 14:17:34.633000+00:00
64,4294967334,173691,2011-01-10 08:08:58.256000+00:00,5000,10809.0,W_Valideren aanvraag,COMPLETE,2011-10-10 14:17:34.633000+00:00,173691,W_Valideren aanvraag,2011-10-10 14:17:34.633000+00:00,64,1,N\A,N\A
65,8589934592,173694,2011-01-10 08:10:30.287000+00:00,7000,112.0,A_SUBMITTED,COMPLETE,2011-01-10 08:10:30.287000+00:00,173694,A_SUBMITTED,2011-01-10 08:10:30.287000+00:00,65,2,A_PARTLYSUBMITTED,2011-01-10 08:10:30.591000+00:00
66,8589934593,173694,2011-01-10 08:10:30.287000+00:00,7000,112.0,A_PARTLYSUBMITTED,COMPLETE,2011-01-10 08:10:30.591000+00:00,173694,A_PARTLYSUBMITTED,2011-01-10 08:10:30.591000+00:00,66,2,A_PREACCEPTED,2011-01-10 08:11:13.026000+00:00
67,8589934594,173694,2011-01-10 08:10:30.287000+00:00,7000,112.0,A_PREACCEPTED,COMPLETE,2011-01-10 08:11:13.026000+00:00,173694,A_PREACCEPTED,2011-01-10 08:11:13.026000+00:00,67,2,W_Completeren aanvraag,2011-01-10 08:11:13.390000+00:00
68,8589934595,173694,2011-01-10 08:10:30.287000+00:00,7000,112.0,W_Completeren aanvraag,SCHEDULE,2011-01-10 08:11:13.390000+00:00,173694,W_Completeren aanvraag,2011-01-10 08:11:13.390000+00:00,68,2,W_Completeren aanvraag,2011-01-10 11:31:25.301000+00:00
69,8589934596,173694,2011-01-10 08:10:30.287000+00:00,7000,10912.0,W_Completeren aanvraag,START,2011-01-10 11:31:25.301000+00:00,173694,W_Completeren aanvraag,2011-01-10 11:31:25.301000+00:00,69,2,W_Completeren aanvraag,2011-01-10 11:35:59.637000+00:00
70,8589934597,173694,2011-01-10 08:10:30.287000+00:00,7000,10912.0,W_Completeren aanvraag,COMPLETE,2011-01-10 11:35:59.637000+00:00,173694,W_Completeren aanvraag,2011-01-10 11:35:59.637000+00:00,70,2,W_Nabellen offertes,2011-01-11 14:54:40.128000+00:00
71,8589934636,173694,2011-01-10 08:10:30.287000+00:00,7000,11189.0,W_Nabellen offertes,START,2011-01-11 14:54:40.128000+00:00,173694,W_Nabellen offertes,2011-01-11 14:54:40.128000+00:00,71,2,W_Nabellen offertes,2011-01-11 14:55:35.020000+00:00
72,8589934637,173694,2011-01-10 08:10:30.287000+00:00,7000,11189.0,W_Nabellen offertes,COMPLETE,2011-01-11 14:55:35.020000+00:00,173694,W_Nabellen offertes,2011-01-11 14:55:35.020000+00:00,72,2,W_Nabellen offertes,2011-01-11 17:16:31.149000+00:00
73,8589934638,173694,2011-01-10 08:10:30.287000+00:00,7000,11119.0,W_Nabellen offertes,START,2011-01-11 17:16:31.149000+00:00,173694,W_Nabellen offertes,2011-01-11 17:16:31.149000+00:00,73,2,W_Nabellen offertes,2011-01-11 17:21:02.356000+00:00
74,8589934639,173694,2011-01-10 08:10:30.287000+00:00,7000,11119.0,W_Nabellen offertes,COMPLETE,2011-01-11 17:21:02.356000+00:00,173694,W_Nabellen offertes,2011-01-11 17:21:02.356000+00:00,74,2,W_Nabellen offertes,2011-02-11 09:11:44.251000+00:00
75,8589934640,173694,2011-01-10 08:10:30.287000+00:00,7000,11049.0,W_Nabellen offertes,START,2011-02-11 09:11:44.251000+00:00,173694,W_Nabellen offertes,2011-02-11 09:11:44.251000+00:00,75,2,O_SENT_BACK,2011-02-11 09:15:16.203000+00:00
76,8589934641,173694,2011-01-10 08:10:30.287000+00:00,7000,11049.0,O_SENT_BACK,COMPLETE,2011-02-11 09:15:16.203000+00:00,173694,O_SENT_BACK,2011-02-11 09:15:16.203000+00:00,76,2,W_Valideren aanvraag,2011-02-11 09:15:16.386000+00:00
77,8589934642,173694,2011-01-10 08:10:30.287000+00:00,7000,11049.0,W_Valideren aanvraag,SCHEDULE,2011-02-11 09:15:16.386000+00:00,173694,W_Valideren aanvraag,2011-02-11 09:15:16.386000+00:00,77,2,W_Nabellen offertes,2011-02-11 09:15:18.683000+00:00
78,8589934643,173694,2011-01-10 08:10:30.287000+00:00,7000,11049.0,W_Nabellen offertes,COMPLETE,2011-02-11 09:15:18.683000+00:00,173694,W_Nabellen offertes,2011-02-11 09:15:18.683000+00:00,78,2,W_Completeren aanvraag,2011-03-10 11:12:02.445000+00:00
79,8589934598,173694,2011-01-10 08:10:30.287000+00:00,7000,,W_Completeren aanvraag,START,2011-03-10 11:12:02.445000+00:00,173694,W_Completeren aanvraag,2011-03-10 11:12:02.445000+00:00,79,2,W_Completeren aanvraag,2011-03-10 11:21:22.417000+00:00
80,8589934599,173694,2011-01-10 08:10:30.287000+00:00,7000,,W_Completeren aanvraag,COMPLETE,2011-03-10 11:21:22.417000+00:00,173694,W_Completeren aanvraag,2011-03-10 11:21:22.417000+00:00,80,2,W_Completeren aanvraag,2011-03-10 13:21:06.626000+00:00
81,8589934600,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Completeren aanvraag,START,2011-03-10 13:21:06.626000+00:00,173694,W_Completeren aanvraag,2011-03-10 13:21:06.626000+00:00,81,2,W_Completeren aanvraag,2011-03-10 13:32:43.313000+00:00
82,8589934601,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Completeren aanvraag,COMPLETE,2011-03-10 13:32:43.313000+00:00,173694,W_Completeren aanvraag,2011-03-10 13:32:43.313000+00:00,82,2,W_Completeren aanvraag,2011-03-10 13:32:52.818000+00:00
83,8589934602,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Completeren aanvraag,START,2011-03-10 13:32:52.818000+00:00,173694,W_Completeren aanvraag,2011-03-10 13:32:52.818000+00:00,83,2,A_ACCEPTED,2011-03-10 13:34:25.421000+00:00
84,8589934603,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,A_ACCEPTED,COMPLETE,2011-03-10 13:34:25.421000+00:00,173694,A_ACCEPTED,2011-03-10 13:34:25.421000+00:00,84,2,O_SELECTED,2011-03-10 13:40:14.632000+00:00
85,8589934605,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_SELECTED,COMPLETE,2011-03-10 13:40:14.632000+00:00,173694,O_SELECTED,2011-03-10 13:40:14.632000+00:00,85,2,A_FINALIZED,2011-03-10 13:40:14.632000+00:00
86,8589934604,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,A_FINALIZED,COMPLETE,2011-03-10 13:40:14.632000+00:00,173694,A_FINALIZED,2011-03-10 13:40:14.632000+00:00,86,2,O_CREATED,2011-03-10 13:40:15.605000+00:00
87,8589934606,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_CREATED,COMPLETE,2011-03-10 13:40:15.605000+00:00,173694,O_CREATED,2011-03-10 13:40:15.605000+00:00,87,2,O_SENT,2011-03-10 13:40:15.651000+00:00
88,8589934607,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_SENT,COMPLETE,2011-03-10 13:40:15.651000+00:00,173694,O_SENT,2011-03-10 13:40:15.651000+00:00,88,2,W_Nabellen offertes,2011-03-10 13:40:15.865000+00:00
89,8589934608,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Nabellen offertes,SCHEDULE,2011-03-10 13:40:15.865000+00:00,173694,W_Nabellen offertes,2011-03-10 13:40:15.865000+00:00,89,2,W_Completeren aanvraag,2011-03-10 13:40:17.062000+00:00
90,8589934609,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Completeren aanvraag,COMPLETE,2011-03-10 13:40:17.062000+00:00,173694,W_Completeren aanvraag,2011-03-10 13:40:17.062000+00:00,90,2,W_Nabellen offertes,2011-03-10 13:40:42.469000+00:00
91,8589934610,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Nabellen offertes,START,2011-03-10 13:40:42.469000+00:00,173694,W_Nabellen offertes,2011-03-10 13:40:42.469000+00:00,91,2,O_CANCELLED,2011-03-10 13:44:17.619000+00:00
92,8589934612,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_CANCELLED,COMPLETE,2011-03-10 13:44:17.619000+00:00,173694,O_CANCELLED,2011-03-10 13:44:17.619000+00:00,92,2,O_SELECTED,2011-03-10 13:44:17.619000+00:00
93,8589934611,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_SELECTED,COMPLETE,2011-03-10 13:44:17.619000+00:00,173694,O_SELECTED,2011-03-10 13:44:17.619000+00:00,93,2,O_CREATED,2011-03-10 13:44:19.671000+00:00
94,8589934613,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_CREATED,COMPLETE,2011-03-10 13:44:19.671000+00:00,173694,O_CREATED,2011-03-10 13:44:19.671000+00:00,94,2,O_SENT,2011-03-10 13:44:19.719000+00:00
95,8589934614,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,O_SENT,COMPLETE,2011-03-10 13:44:19.719000+00:00,173694,O_SENT,2011-03-10 13:44:19.719000+00:00,95,2,W_Nabellen offertes,2011-03-10 13:44:19.954000+00:00
96,8589934615,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Nabellen offertes,SCHEDULE,2011-03-10 13:44:19.954000+00:00,173694,W_Nabellen offertes,2011-03-10 13:44:19.954000+00:00,96,2,W_Nabellen offertes,2011-03-10 13:44:21.261000+00:00
97,8589934616,173694,2011-01-10 08:10:30.287000+00:00,7000,11201.0,W_Nabellen offertes,COMPLETE,2011-03-10 13:44:21.261000+00:00,173694,W_Nabellen offertes,2011-03-10 13:44:21.261000+00:00,97,2,W_Valideren aanvraag,2011-04-11 15:24:21.954000+00:00
